CG32687,337.565.888.124.279,CG8003
Ret,337.565.888.124.279,sug
CG3259,337.565.888.124.279,CG6608
CG10909,337.565.888.124.279,CG11148
CG11970,337.565.888.124.279,CG4963
CG16711,337.565.888.124.279,CG4619
CG10035,337.565.888.124.279,CG17666
Obp57a,337.565.888.124.279,Sgt
CG30360,337.565.888.124.279,Bap60
CG11501,337.565.888.124.279,Taf12
CG14585,337.565.888.124.279,CG7146
CG5397,337.565.888.124.279,cact
CG30359,337.565.888.124.279,MED6
CG4557,999.993.498.301.378,Rab6
CG17361,337.565.888.124.279,trc
Nelf-E,337.565.888.124.279,Hn
Aats-gln,337.565.888.124.279,SpdS
CG16756,337.565.888.124.279,CG5325
Or67c,337.565.888.124.279,pont
Cyp6a13,337.565.888.124.279,CG5558
CG10217,337.565.888.124.279,CG13627
CG14482,337.565.888.124.279,CG15220
Cyp4e2,337.565.888.124.279,CG9350
CG13862,337.565.888.124.279,Sox100B
jim,337.565.888.124.279,rols
CG13042,337.565.888.124.279,CG31038
CG32432,337.565.888.124.279,sl
gcm,337.565.888.124.279,mts
CG17904,337.565.888.124.279,CG4858
CG13340,337.565.888.124.279,Ptp4E
CG16723,337.565.888.124.279,CG3880
CG3842,337.565.888.124.279,CG5144
Plip,337.565.888.124.279,vari
CG15269,337.565.888.124.279,Invadolysin
CG7580,337.565.888.124.279,CG8316
CG7356,337.565.888.124.279,eco
CG12582,337.565.888.124.279,mus304
Or42a,337.565.888.124.279,ttm50
kek2,337.565.888.124.279,RpS27A
CG30158,337.565.888.124.279,CG4270
Nep4,337.565.888.124.279,Poxm
CG18095,337.565.888.124.279,Smox
CG9086,337.565.888.124.279,Dsim\mmd
CG1722,337.565.888.124.279,CG42257
Sara,337.565.888.124.279,mod(mdg4)
Ugt36Ba,337.565.888.124.279,CG9986
djl,337.565.888.124.279,RpL22-like
CG14933,337.565.888.124.279,csw
CG12587,337.565.888.124.279,zormin
CG11902,337.565.888.124.279,Vps20
CG3698,337.565.888.124.279,AP-1gamma
CG30431,337.565.888.124.279,pAbp
Rsf1,337.565.888.124.279,ps
jagn,337.565.888.124.279,CG16853
CG5599,337.565.888.124.279,Dyb
CG14446,337.565.888.124.279,loqs
se,337.565.888.124.279,Hn
CG10638,337.565.888.124.279,Cyp9f2
CG2022,337.565.888.124.279,CG9986
CG14182,337.565.888.124.279,Sgt
CG1631,337.565.888.124.279,CG18271
CG1631,337.565.888.124.279,mus304
CG10151,337.565.888.124.279,CG4270
CG10019,337.565.888.124.279,Invadolysin
ppk28,337.565.888.124.279,Sec61alpha
CG32708,337.565.888.124.279,CG3918
CG10737,88.943.763.882.557,sec5
CG17544,337.565.888.124.279,CG5359
ProsMA5,337.565.888.124.279,CG7156
eIF2B-epsilon,337.565.888.124.279,eIF2B-gamma
CG18317,337.565.888.124.279,HLHm3
CG6325,337.565.888.124.279,128up
msl-1,337.565.888.124.279,CG11539
CG14141,337.565.888.124.279,Oda
CG15747,337.565.888.124.279,sip2
sec15,337.565.888.124.279,Droj2
Aats-phe,337.565.888.124.279,CG13889
CG5724,337.565.888.124.279,CG6724
CG12446,337.565.888.124.279,CG17666
CG1542,337.565.888.124.279,CG9511
CG1690,337.565.888.124.279,eIF4E-7
CG1690,337.565.888.124.279,eIF4E-5
CG11030,337.565.888.124.279,CG13030
